Date,Days_After_Sowing,NDVI_Interpolated,NDVI_Lower_CI,NDVI_Upper_CI,FVC_Interpolated,FVC_Lower_CI,FVC_Upper_CI,Ground_Cover_Percentage,Ground_Cover_Lower_CI,Ground_Cover_Upper_CI,Growth_Stage,Sowing_Date,Harvest_Date,temperature_2m,temperature_min,temperature_max,precipitation,humidity,pressure,wind_speed,cloud_cover,gdd_daily,gdd_cumulative
2024-04-15,195,0.6516332930484626,0.6168332930484626,0.6864332930484627,0.7166189900692324,0.6669047043549465,0.7663332757835182,71.66189900692324,66.69047043549466,76.63332757835181,Flowering,2023-10-03,2024-07-30,11.9,5.6,14.5,5.1,79,1010.4,17.1,88,10.05,1327.6500000000005
2024-04-16,196,0.65406972167978,0.61926972167978,0.6888697216797799,0.7200996023996856,0.6703853166854,0.7698138881139713,72.00996023996856,67.03853166854,76.98138881139714,Flowering,2023-10-03,2024-07-30,5.4,2.8,8.6,9.0,80,1007.4,25.5,83,5.699999999999999,1333.3500000000006
2024-04-17,197,0.6576290389655244,0.6228290389655244,0.6924290389655243,0.7251843413793205,0.6754700556650349,0.7748986270936062,72.51843413793205,67.54700556650349,77.48986270936062,Flowering,2023-10-03,2024-07-30,5.2,2.8,8.5,3.7,78,1009.3,11.5,95,5.65,1339.0000000000007
2024-04-18,198,0.6638739321015396,0.6290739321015395,0.6986739321015396,0.7341056172879137,0.6843913315736279,0.7838199030021995,73.41056172879136,68.43913315736279,78.38199030021995,Flowering,2023-10-03,2024-07-30,3.8,1.1,9.5,2.4,82,1015.9,8.8,73,5.3,1344.3000000000006
2024-04-19,199,0.6738701140269974,0.6390701140269974,0.7086701140269973,0.7483858771814248,0.6986715914671392,0.7981001628957105,74.83858771814248,69.86715914671392,79.81001628957105,Flowering,2023-10-03,2024-07-30,3.3,2.1,5.1,9.3,89,1014.2,20.6,99,3.5999999999999996,1347.9000000000005
2024-04-20,200,0.6858405265115566,0.6510405265115566,0.7206405265115565,0.7654864664450809,0.7157721807307952,0.8152007521593665,76.5486466445081,71.57721807307952,81.52007521593664,Flowering,2023-10-03,2024-07-30,4.4,2.1,7.8,0.8,77,1016.5,17.3,89,4.95,1352.8500000000006
2024-04-21,201,0.6959856807200306,0.6611856807200307,0.7307856807200306,0.7799795438857581,0.7302652581714725,0.8296938296000437,77.9979543885758,73.02652581714725,82.96938296000437,Flowering,2023-10-03,2024-07-30,3.0,1.3,5.8,6.5,87,1019.0,12.2,99,3.55,1356.4000000000005
2024-04-22,202,0.7024331627718083,0.6676331627718084,0.7372331627718083,0.7891902325311548,0.7394759468168691,0.8389045182454404,78.91902325311548,73.94759468168691,83.89045182454404,Flowering,2023-10-03,2024-07-30,3.0,-1.9,6.6,0.8,69,1021.6,11.8,61,2.3499999999999996,1358.7500000000005
2024-04-23,203,0.7063825360435253,0.6715825360435252,0.7411825360435254,0.7948321943478933,0.7451179086336075,0.8445464800621791,79.48321943478933,74.51179086336074,84.45464800621791,Flowering,2023-10-03,2024-07-30,3.3,-1.7,7.4,0.0,66,1017.7,10.4,73,2.85,1361.6000000000004
2024-04-24,204,0.7097005334819849,0.6749005334819849,0.744500533481985,0.7995721906885499,0.7498579049742641,0.8492864764028357,79.957219068855,74.98579049742641,84.92864764028357,Flowering,2023-10-03,2024-07-30,3.4,0.2,6.6,1.2,72,1010.5,14.4,55,3.4,1365.0000000000005
2024-04-25,205,0.7131284268507033,0.6783284268507033,0.7479284268507034,0.8044691812152904,0.7547548955010047,0.8541834669295763,80.44691812152904,75.47548955010048,85.41834669295763,Flowering,2023-10-03,2024-07-30,3.6,1.0,7.3,1.2,78,1009.1,13.2,76,4.15,1369.1500000000005
2024-04-26,206,0.7164943200252972,0.6816943200252972,0.7512943200252973,0.8092776000361389,0.7595633143218531,0.8589918857504247,80.9277600036139,75.95633143218531,85.89918857504247,Flowering,2023-10-03,2024-07-30,6.6,-0.7,12.7,0.2,70,1008.0,9.7,52,6.0,1375.1500000000005
2024-04-27,207,0.7195739275170485,0.6847739275170486,0.7543739275170485,0.8136770393100693,0.7639627535957837,0.863391325024355,81.36770393100693,76.39627535957837,86.3391325024355,Flowering,2023-10-03,2024-07-30,11.1,2.5,18.5,0.1,63,1009.3,8.5,23,10.5,1385.6500000000005
2024-04-28,208,0.7223947010827786,0.6875947010827785,0.7571947010827786,0.8177067158325408,0.767992430118255,0.8674210015468267,81.77067158325409,76.7992430118255,86.74210015468266,Flowering,2023-10-03,2024-07-30,13.0,7.3,18.9,0.0,60,1012.8,11.1,82,13.1,1398.7500000000005
2024-04-29,209,0.7250581645141628,0.6902581645141628,0.7598581645141629,0.8215116635916612,0.7717973778773755,0.871225949305947,82.15116635916611,77.17973778773755,87.1225949305947,Grain Filling,2023-10-03,2024-07-30,14.0,8.0,20.5,0.2,68,1020.7,7.3,82,14.25,1413.0000000000005
2024-04-30,210,0.7276115394614368,0.6928115394614367,0.7624115394614368,0.8251593420877668,0.775445056373481,0.8748736278020526,82.51593420877667,77.54450563734811,87.48736278020526,Grain Filling,2023-10-03,2024-07-30,17.4,9.9,24.9,0.0,63,1014.8,8.0,50,17.4,1430.4000000000005
2024-05-01,211,0.7300582855343818,0.6952582855343818,0.7648582855343817,0.8286546936205454,0.7789404079062598,0.878368979334831,82.86546936205454,77.89404079062598,87.8368979334831,Grain Filling,2023-10-03,2024-07-30,17.1,10.2,23.7,0.0,59,1006.1,11.1,49,16.95,1447.3500000000006
2024-05-02,212,0.7323884756954055,0.6975884756954056,0.7671884756954055,0.8319835367077222,0.7822692509934366,0.8816978224220079,83.19835367077222,78.22692509934366,88.1697822422008,Grain Filling,2023-10-03,2024-07-30,15.8,11.5,20.9,2.3,67,1000.3,11.7,69,16.2,1463.5500000000006
2024-05-03,213,0.7345897484752327,0.6997897484752327,0.7693897484752328,0.8351282121074753,0.7854139263931895,0.8848424978217612,83.51282121074753,78.54139263931896,88.48424978217612,Grain Filling,2023-10-03,2024-07-30,11.0,9.2,13.6,0.2,75,1012.5,16.9,93,11.399999999999999,1474.9500000000007
2024-05-04,214,0.7366491674676001,0.7018491674676002,0.7714491674676001,0.8380702392394288,0.7883559535251431,0.8877845249537144,83.80702392394288,78.8355953525143,88.77845249537144,Grain Filling,2023-10-03,2024-07-30,11.9,5.6,17.2,0.0,71,1015.6,7.2,74,11.399999999999999,1486.3500000000008
2024-05-05,215,0.7385534711890476,0.7037534711890476,0.7733534711890475,0.8407906731272108,0.7910763874129252,0.8905049588414965,84.07906731272108,79.10763874129252,89.05049588414965,Grain Filling,2023-10-03,2024-07-30,13.3,10.6,16.5,7.6,78,1011.5,13.4,88,13.55,1499.9000000000008
2024-05-06,216,0.7402890896034564,0.7054890896034565,0.7750890896034563,0.8432701280049377,0.7935558422906521,0.8929844137192234,84.32701280049378,79.35558422906522,89.29844137192234,Grain Filling,2023-10-03,2024-07-30,13.2,10.2,18.2,11.8,85,1009.3,10.8,96,14.2,1514.1000000000008
2024-05-07,217,0.7418421759748425,0.7070421759748424,0.7766421759748425,0.8454888228212035,0.7957745371069178,0.8952031085354893,84.54888228212035,79.57745371069178,89.52031085354893,Grain Filling,2023-10-03,2024-07-30,11.4,9.0,14.7,1.9,85,1015.2,14.9,99,11.85,1525.9500000000007
2024-05-08,218,0.743198656519881,0.708398656519881,0.7779986565198811,0.8474266521712587,0.7977123664569729,0.8971409378855445,84.74266521712586,79.77123664569729,89.71409378855445,Grain Filling,2023-10-03,2024-07-30,10.5,8.4,12.8,0.6,82,1023.3,10.8,93,10.600000000000001,1536.5500000000006
2024-05-09,219,0.744344300676295,0.7095443006762949,0.779144300676295,0.8490632866804214,0.7993490009661356,0.8987775723947072,84.90632866804214,79.93490009661356,89.87775723947072,Grain Filling,2023-10-03,2024-07-30,12.4,6.8,17.4,0.0,69,1025.3,7.8,49,12.1,1548.6500000000005
2024-05-10,220,0.745264815170093,0.710464815170093,0.7800648151700931,0.8503783073858472,0.8006640216715614,0.900092593100133,85.03783073858472,80.06640216715614,90.0092593100133,Grain Filling,2023-10-03,2024-07-30,13.5,6.7,19.0,0.0,65,1022.4,6.9,52,12.85,1561.5000000000005
2024-05-11,221,0.7459459654489108,0.7111459654489107,0.7807459654489108,0.8513513792127297,0.8016370934984439,0.9010656649270156,85.13513792127297,80.1637093498444,90.10656649270156,Grain Filling,2023-10-03,2024-07-30,14.9,8.2,21.4,0.0,63,1020.7,7.7,58,14.799999999999999,1576.3000000000004
